Domain Name Length,File Name Length,IP presence,Port Presence,Subdomain Presence,Relative URL,TLD,URL Path Length,Suspicious Filename,Domain Divisions,Suspicious Words,Numbers In Host,Country code,Region,Timezone,A Records,MX Records,NS Records,PTR_EQ_A,Classification
27,18,1,1,1,1,1,18,1,2,0,3,US,null,America/Chicago,1,1,2,0,0
25,18,1,1,1,1,1,18,1,2,0,3,US,null,America/Chicago,1,1,2,0,0
26,18,1,1,1,1,1,18,1,2,0,3,US,null,America/Chicago,1,1,2,0,0
31,948,1,1,1,1,1,45,1,2,1,0,null,null,null,0,0,0,0,0
13,31,1,1,1,1,1,31,1,1,1,0,null,null,null,0,0,0,0,0
10,0,1,1,1,1,1,0,1,0,1,7,null,null,null,0,0,0,0,0
19,14,1,1,1,1,1,14,1,1,1,0,MY,null,Asia/Kuching,1,1,2,0,0
14,0,0,1,1,1,1,0,1,3,1,11,null,null,null,0,0,0,0,0
10,0,1,1,1,1,1,0,1,1,1,0,US,California,America/Los_Angeles,1,0,5,0,0
26,13,1,1,1,1,1,13,1,2,0,3,US,null,America/Chicago,1,1,2,0,0
21,32,1,1,0,1,1,32,1,2,1,0,NL,North Holland,Europe/Amsterdam,1,1,2,0,0
12,1,1,1,1,1,0,1,1,1,1,0,null,null,null,0,0,0,0,0
12,29,1,1,1,1,0,29,1,1,1,0,null,null,null,0,0,0,0,0
12,29,1,1,1,1,0,29,1,1,1,0,null,null,null,0,0,0,0,0
15,20,0,1,1,1,1,20,1,3,1,12,PL,null,Europe/Warsaw,0,0,0,0,0
35,156,1,1,0,1,1,156,1,2,1,0,US,Utah,America/Denver,1,1,2,0,0
28,42,1,1,1,1,0,42,1,3,1,0,NL,null,Europe/Amsterdam,1,0,2,0,0
16,7,1,1,1,1,1,7,1,1,1,0,NL,null,Europe/Amsterdam,1,1,5,0,0
18,85,1,1,1,1,1,37,1,1,1,0,NL,null,Europe/Amsterdam,1,1,4,0,0
15,68,1,1,1,1,1,68,1,1,1,0,US,Utah,America/Denver,1,1,2,0,0
17,7,1,1,1,1,1,7,1,1,1,0,US,Arizona,America/Phoenix,1,1,2,0,0
22,0,1,1,0,1,1,0,1,2,1,0,HK,null,Asia/Hong_Kong,0,0,2,0,0
10,0,1,1,1,1,1,0,1,1,1,0,US,California,America/Los_Angeles,1,0,5,0,0
10,1,1,1,1,1,1,1,1,1,1,0,US,California,America/Los_Angeles,1,0,5,0,0
12,0,1,1,1,1,0,0,1,1,1,0,null,null,null,0,0,0,0,0
12,1,1,1,1,1,0,1,1,1,1,0,null,null,null,0,0,0,0,0
27,144,1,1,1,1,1,144,1,2,1,3,US,null,America/Chicago,2,5,2,0,0
19,179,1,1,1,1,1,21,1,1,1,3,US,California,America/Los_Angeles,1,1,2,0,0
19,12,1,1,1,1,1,12,1,1,1,3,US,California,America/Los_Angeles,1,1,2,0,0
17,8,1,1,1,1,1,8,1,1,1,0,US,Arizona,America/Phoenix,1,1,2,0,0
21,5,1,1,0,1,0,5,1,3,1,0,US,Florida,America/New_York,1,1,2,0,0
17,13,1,1,1,1,1,13,1,1,1,0,null,null,null,0,0,0,0,0
11,14,1,1,1,1,1,14,1,1,1,0,null,null,null,0,0,0,0,0
13,32,1,1,1,1,1,32,1,1,1,0,null,null,null,0,0,0,0,0
14,0,1,1,0,1,0,0,1,2,1,0,US,null,America/Chicago,2,0,2,0,0
10,1,1,1,1,1,0,1,1,1,1,0,US,null,America/Chicago,2,0,2,0,0
13,1,1,1,1,1,1,1,1,1,1,0,null,null,null,0,0,0,0,0
12,43,1,1,0,1,1,43,1,2,1,0,US,null,America/Chicago,2,3,2,0,0
35,157,1,1,0,1,1,157,1,2,1,0,US,Utah,America/Denver,1,1,2,0,0
21,7,1,1,0,1,1,7,1,2,1,0,US,Arizona,America/Phoenix,1,1,2,0,0
19,15,1,1,0,1,1,15,1,2,1,0,US,null,America/Chicago,2,1,2,0,0
21,51,1,1,1,1,1,51,1,1,1,0,US,Utah,America/Denver,1,1,2,0,0
25,38,1,1,1,1,0,38,1,2,1,0,US,Utah,America/Denver,1,1,2,0,0
14,4,0,1,1,1,0,4,1,3,1,11,US,New Jersey,America/New_York,0,0,0,0,0
18,88,1,1,1,1,1,37,1,1,1,0,NL,null,Europe/Amsterdam,1,1,4,0,0
15,69,1,1,1,1,1,69,1,1,1,0,US,Utah,America/Denver,1,1,2,0,0
9,32,1,1,1,1,0,32,1,2,1,0,ID,null,Asia/Jakarta,1,1,4,0,0
13,46,1,1,1,1,1,46,1,1,1,0,LT,null,Europe/Vilnius,1,2,4,0,0
17,14,1,1,1,1,0,14,1,2,1,0,US,Florida,America/New_York,1,1,2,0,0
21,14,1,1,0,1,0,14,1,3,1,0,US,Florida,America/New_York,1,1,2,0,0
27,34,1,1,1,1,1,34,1,3,1,0,LT,null,Europe/Vilnius,0,0,4,0,0
27,33,1,1,1,1,1,33,1,3,1,0,LT,null,Europe/Vilnius,0,0,4,0,0
27,34,1,1,1,1,1,34,1,3,1,0,LT,null,Europe/Vilnius,0,0,4,0,0
27,33,1,1,1,1,1,33,1,3,1,0,LT,null,Europe/Vilnius,0,0,4,0,0
45,18,1,1,1,1,1,18,1,2,1,0,US,Ohio,America/New_York,1,2,2,0,0
18,59,1,1,1,1,1,59,1,1,1,0,US,Arizona,America/Phoenix,1,1,2,0,0
18,56,1,1,1,1,1,56,1,1,1,0,US,Arizona,America/Phoenix,1,1,2,0,0
19,11,1,1,1,1,1,11,1,1,1,3,US,California,America/Los_Angeles,1,1,2,0,0
19,179,1,1,1,1,1,21,1,1,1,3,US,California,America/Los_Angeles,1,1,2,0,0
26,35,1,1,1,1,1,35,1,2,0,3,US,null,America/Chicago,1,1,2,0,0
13,188,1,1,1,1,1,22,1,1,1,0,null,null,null,0,0,0,0,0
14,5,0,1,1,1,0,5,1,3,1,11,US,New Jersey,America/New_York,0,0,0,0,0
18,18,1,1,0,1,1,18,1,2,1,0,null,null,null,0,0,0,0,0
19,16,1,1,0,1,1,16,1,2,1,0,US,null,America/Chicago,2,1,2,0,0
14,18,0,1,1,1,1,18,1,3,1,11,GB,England,Europe/London,0,0,0,0,0
14,29,0,1,1,1,1,29,1,3,1,11,GB,England,Europe/London,0,0,0,0,0
18,43,1,1,1,1,1,43,1,2,1,0,US,Arizona,America/Phoenix,1,1,2,0,0
10,6,1,1,1,1,0,6,1,2,1,0,TW,null,Asia/Taipei,1,1,2,0,0
10,5,1,1,1,1,0,5,1,2,1,0,TW,null,Asia/Taipei,1,1,2,0,0
21,52,1,1,0,1,1,52,1,2,1,0,US,Arizona,America/Phoenix,1,1,2,0,0
21,8,1,1,0,1,1,8,1,2,1,0,US,Arizona,America/Phoenix,1,1,2,0,0
13,40,1,1,1,1,1,40,1,1,1,0,US,Texas,America/Chicago,1,1,2,0,0
27,34,1,1,1,1,1,34,1,3,1,0,LT,null,Europe/Vilnius,0,0,4,0,0
27,33,1,1,1,1,1,33,1,3,1,0,LT,null,Europe/Vilnius,0,0,4,0,0
11,18,1,1,1,1,0,18,1,1,1,0,null,null,null,0,0,0,0,0
21,142,1,1,0,1,0,14,1,3,1,0,US,Florida,America/New_York,1,1,2,0,0
21,4,1,1,0,1,0,4,1,3,1,0,US,Florida,America/New_York,1,1,2,0,0
25,109,1,1,1,1,0,41,1,2,1,0,US,Utah,America/Denver,1,1,2,0,0
17,12,1,1,1,1,1,12,1,1,1,0,null,null,null,0,0,0,0,0
11,13,1,1,1,1,1,13,1,1,1,0,null,null,null,0,0,0,0,0
15,68,1,1,1,1,1,68,1,1,1,0,US,Utah,America/Denver,1,1,2,0,0
26,62,1,1,1,1,1,62,1,2,0,3,US,null,America/Chicago,1,1,2,0,0
10,1,1,1,1,1,1,1,1,1,1,0,null,null,null,0,0,0,0,0
27,94,1,1,1,1,1,94,1,1,1,0,null,null,null,0,0,0,0,0
45,18,1,1,1,1,1,18,1,2,1,0,US,Ohio,America/New_York,1,2,2,0,0
21,52,1,1,1,1,1,52,1,1,1,0,US,Utah,America/Denver,1,1,2,0,0
25,39,1,1,1,1,0,39,1,2,1,0,US,Utah,America/Denver,1,1,2,0,0
18,195,1,1,1,1,1,29,1,1,1,0,NL,null,Europe/Amsterdam,1,1,4,0,0
25,146,1,1,1,1,0,41,1,2,1,0,US,Utah,America/Denver,1,1,2,0,0
15,69,1,1,1,1,1,69,1,1,1,0,US,Utah,America/Denver,1,1,2,0,0
53,9,1,1,1,1,1,9,1,6,1,0,US,Utah,America/Denver,1,5,4,0,0
26,63,1,1,1,1,1,63,1,2,0,3,US,null,America/Chicago,1,1,2,0,0
26,63,1,1,1,1,1,63,1,2,0,3,US,null,America/Chicago,1,1,2,0,0
46,8,1,1,1,1,1,8,1,4,1,0,null,null,null,1,1,2,0,0
46,37,1,1,1,1,1,7,1,4,1,0,null,null,null,1,1,2,0,0
46,37,1,1,1,1,1,7,1,4,1,0,null,null,null,1,1,2,0,0
